"Date","Price","Open","High","Low","Vol.","Change %"
"02-09-2025","24,666.00","24,755.00","24,864.00","24,555.50","58.83K","-0.25%"
"01-09-2025","24,728.50","24,577.50","24,805.00","24,566.50","38.87K","0.71%"
"29-08-2025","24,553.00","24,714.00","24,714.00","24,528.50","48.19K","0.21%"
"28-08-2025","24,500.90","24,649.00","24,690.00","24,480.00","34.06K","-0.31%"
"27-08-2025","24,577.00","24,642.50","24,695.00","24,530.50","22.18K","-0.49%"
"26-08-2025","24,697.50","24,938.50","24,938.50","24,614.00","96.61K","-1.18%"
"25-08-2025","24,993.00","24,999.00","25,045.00","24,915.00","92.86K","0.46%"
"22-08-2025","24,879.00","25,078.50","25,104.50","24,879.00","77.34K","-0.97%"
"21-08-2025","25,121.50","25,084.50","25,179.00","25,045.50","46.73K","0.17%"
"20-08-2025","25,080.00","25,024.50","25,111.00","24,945.00","43.79K","0.27%"
"19-08-2025","25,011.50","25,015.50","25,065.00","24,923.00","44.80K","0.19%"
"18-08-2025","24,963.00","24,792.00","25,080.50","24,791.50","68.91K","1.25%"
"14-08-2025","24,655.00","24,714.50","24,737.50","24,552.00","36.80K","-0.14%"
"13-08-2025","24,690.00","24,647.50","24,743.00","24,597.00","50.34K","0.76%"
"12-08-2025","24,503.00","24,541.50","24,759.00","24,471.50","56.97K","-0.29%"
"11-08-2025","24,575.00","24,422.00","24,639.50","24,400.00","44.99K","0.74%"
"08-08-2025","24,393.50","24,633.00","24,658.50","24,390.00","54.22K","-1.22%"
"07-08-2025","24,695.00","24,537.00","24,724.50","24,395.00","63.93K","0.26%"
"06-08-2025","24,630.00","24,654.00","24,732.50","24,412.50","44.56K","-0.44%"
"05-08-2025","24,740.00","24,715.50","24,773.00","24,620.00","57.66K","-0.18%"
"04-08-2025","24,784.00","24,656.00","24,832.50","24,626.50","54.39K","0.75%"
"01-08-2025","24,599.00","24,722.50","24,841.50","24,574.50","70.05K","-0.68%"
"31-07-2025","24,768.35","24,700.50","24,969.50","24,625.00","36.28K","-0.34%"
"30-07-2025","24,854.00","24,795.50","24,910.00","24,655.00","59.04K","0.06%"
"29-07-2025","24,839.50","24,650.50","24,859.00","24,631.50","91.09K","0.55%"
"28-07-2025","24,704.00","24,831.00","24,919.50","24,620.50","117.40K","-0.56%"
"25-07-2025","24,842.00","24,952.50","25,010.00","24,752.50","78.67K","-0.97%"
"24-07-2025","25,086.50","25,304.50","25,304.50","24,949.50","51.16K","-0.64%"
"23-07-2025","25,248.50","25,126.50","25,324.00","25,109.00","47.14K","0.66%"
"22-07-2025","25,084.00","25,175.50","25,198.00","25,061.00","42.76K","-0.02%"
"21-07-2025","25,089.00","25,018.50","25,240.00","24,908.50","48.18K","0.25%"
"18-07-2025","25,027.50","25,215.00","25,215.00","24,967.50","43.31K","-0.48%"
"17-07-2025","25,148.00","25,279.50","25,287.00","25,085.00","43.43K","-0.33%"
"16-07-2025","25,231.00","25,155.50","25,289.00","25,150.50","44.78K","-0.14%"
"15-07-2025","25,265.50","25,187.50","25,298.00","25,138.00","47.45K","0.45%"
"14-07-2025","25,152.00","25,205.50","25,206.00","25,058.50","42.62K","-0.16%"
"11-07-2025","25,191.50","25,305.00","25,368.50","25,177.50","45.86K","-0.86%"
"10-07-2025","25,410.00","25,556.00","25,583.50","25,286.00","51.11K","-0.47%"
