"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2025","3,592.20","3,517.90","3,602.40","3,506.00","374.14K","1.14%"
"09/01/2025","3,551.82","3,511.17","3,556.87","3,506.05","127.09K","1.13%"
"08/31/2025","3,512.00","3,517.65","3,517.65","3,509.70","","-0.12%"
"08/29/2025","3,516.10","3,477.20","3,518.50","3,463.00","188.55K","1.20%"
"08/28/2025","3,474.30","3,452.60","3,478.70","3,442.50","156.60K","1.12%"
"08/27/2025","3,435.70","3,428.10","3,436.00","3,410.70","0.09K","0.46%"
"08/26/2025","3,420.10","3,398.10","3,427.00","3,398.10","0.15K","0.45%"
"08/25/2025","3,404.90","3,399.70","3,407.20","3,395.00","0.09K","-0.40%"
"08/22/2025","3,418.50","3,383.30","3,423.40","3,362.80","186.04K","1.09%"
"08/21/2025","3,381.60","3,392.20","3,394.40","3,367.40","123.50K","-0.20%"
"08/20/2025","3,388.50","3,359.00","3,394.30","3,353.40","135.52K","0.89%"
"08/19/2025","3,358.70","3,378.30","3,389.70","3,358.10","133.50K","-0.57%"
"08/18/2025","3,378.00","3,382.40","3,403.60","3,368.00","119.14K","-0.14%"
"08/15/2025","3,382.60","3,383.20","3,394.80","3,377.70","118.49K","-0.02%"
"08/14/2025","3,383.20","3,407.20","3,423.80","3,375.50","165.70K","-0.74%"
"08/13/2025","3,408.30","3,399.60","3,422.60","3,392.70","135.85K","0.27%"
"08/12/2025","3,399.00","3,393.60","3,410.80","3,379.10","193.82K","-0.17%"
"08/11/2025","3,404.70","3,458.10","3,466.30","3,393.00","224.51K","-2.48%"
"08/08/2025","3,491.30","3,487.90","3,534.10","3,445.00","321.35K","1.09%"
"08/07/2025","3,453.70","3,431.80","3,483.80","3,430.00","249.09K","0.59%"
"08/06/2025","3,433.40","3,434.90","3,440.50","3,411.70","151.58K","-0.04%"
"08/05/2025","3,434.70","3,428.90","3,444.90","3,403.30","154.16K","0.24%"
"08/04/2025","3,426.40","3,416.60","3,439.50","3,397.90","138.23K","0.78%"
"08/01/2025","3,399.80","3,342.70","3,416.90","3,331.40","229.95K","1.53%"
"07/31/2025","3,348.60","3,327.50","3,366.70","3,324.40","158.03K","-0.13%"
"07/30/2025","3,352.80","3,383.10","3,389.30","3,319.20","203.09K","-0.46%"
"07/29/2025","3,368.30","3,366.10","3,368.80","3,362.40","0.11K","0.43%"
"07/28/2025","3,354.00","3,373.60","3,381.80","3,346.70","0.21K","-1.13%"
"07/25/2025","3,392.50","3,429.20","3,434.30","3,382.30","55.80K","-1.13%"
"07/24/2025","3,431.10","3,455.90","3,458.10","3,411.30","61.91K","-0.69%"
