"Date","Price","Open","High","Low","Vol.","Change %"
"02-09-2025","11.4000","11.2925","11.7825","10.7800","","0.95%"
"01-09-2025","11.2925","11.7525","12.1950","11.2350","","-3.91%"
"29-08-2025","11.7525","12.1775","12.2025","11.5925","","-3.49%"
"28-08-2025","12.1775","12.1925","13.1450","11.5750","","-0.12%"
"26-08-2025","12.1925","11.7575","12.5475","10.9275","","3.70%"
"25-08-2025","11.7575","11.7275","12.3475","11.5450","","0.26%"
"22-08-2025","11.7275","11.3725","11.7850","10.6950","","3.12%"
"21-08-2025","11.3725","11.7850","11.8925","10.0875","","-3.50%"
"20-08-2025","11.7850","11.7900","11.9900","10.1850","","-0.04%"
"19-08-2025","11.7900","12.3400","12.3400","11.7600","","-4.46%"
"18-08-2025","12.3400","12.3550","13.4650","11.7500","","-0.12%"
"14-08-2025","12.3550","12.1400","12.4700","11.4725","","1.77%"
"13-08-2025","12.1400","12.2325","12.3525","10.7775","","-0.76%"
"12-08-2025","12.2325","12.2175","12.4225","11.5950","","0.12%"
"11-08-2025","12.2175","12.0325","12.7300","12.0325","","1.54%"
"08-08-2025","12.0325","11.6875","12.1975","10.8975","","2.95%"
"07-08-2025","11.6875","11.9600","12.3075","11.5550","","-2.28%"
"06-08-2025","11.9600","11.7125","12.0475","10.6575","","2.11%"
"05-08-2025","11.7125","11.9675","12.1775","11.6400","","-2.13%"
"04-08-2025","11.9675","11.9750","12.6300","11.8025","","-0.06%"
"01-08-2025","11.9750","11.5425","12.1100","11.4025","","3.75%"
"31-07-2025","11.5425","11.2050","12.1200","11.2050","","3.01%"
"30-07-2025","11.2050","11.5250","11.7750","10.6125","","-2.78%"
"29-07-2025","11.5250","12.0625","12.3000","11.4000","","-4.46%"
"28-07-2025","12.0625","11.2750","12.2300","10.3250","","6.98%"
"25-07-2025","11.2750","10.7225","11.5825","10.6125","","5.15%"
"24-07-2025","10.7225","10.5150","11.1050","9.8675","","1.97%"
"23-07-2025","10.5150","10.7525","10.7525","10.2200","","-2.21%"
"22-07-2025","10.7525","11.2025","11.2275","10.6875","","-4.02%"
"21-07-2025","11.2025","11.3925","11.9425","11.0875","","-1.67%"
"18-07-2025","11.3925","11.2425","11.8600","9.9000","","1.33%"
"17-07-2025","11.2425","11.2400","11.5425","10.7275","","0.02%"
"16-07-2025","11.2400","11.4800","11.6675","11.1975","","-2.09%"
"15-07-2025","11.4800","11.9800","12.0250","11.4050","","-4.17%"
"14-07-2025","11.9800","11.8175","12.4200","11.8175","","1.38%"
"11-07-2025","11.8175","11.6725","12.1225","11.5350","","1.24%"
"10-07-2025","11.6725","11.9400","12.1875","11.6125","","-2.24%"
"09-07-2025","11.9400","12.1950","12.3550","11.7500","","-2.09%"
"08-07-2025","12.1950","12.5600","12.7100","12.0550","","-2.91%"
"07-07-2025","12.5600","12.3150","12.7900","11.9400","","1.99%"
"04-07-2025","12.3150","12.3850","12.6975","12.2400","","-0.57%"
"03-07-2025","12.3850","12.4450","12.6600","12.1900","","-0.48%"
"02-07-2025","12.4450","12.5275","12.6625","12.3400","","-0.66%"
"01-07-2025","12.5275","12.7850","12.9925","12.4375","","-2.01%"
"30-06-2025","12.7850","12.3875","13.0275","12.3875","","3.21%"
"27-06-2025","12.3875","12.5900","12.9225","12.3225","","-1.61%"
"26-06-2025","12.5900","12.9625","13.3300","12.5150","","-2.87%"
"25-06-2025","12.9625","13.6425","13.6425","12.9000","","-4.98%"
"24-06-2025","13.6425","14.0475","14.3425","13.3075","","-2.88%"
"23-06-2025","14.0475","13.6725","14.5225","13.6625","","2.74%"
"20-06-2025","13.6725","14.2550","14.2550","13.3225","","-4.09%"
"19-06-2025","14.2550","14.2750","14.3700","13.7400","","-0.14%"
"18-06-2025","14.2750","14.4025","14.8175","14.1050","","-0.89%"
"17-06-2025","14.4025","14.8375","15.0225","14.3000","","-2.93%"
"16-06-2025","14.8375","15.0800","15.4725","14.5525","","-1.61%"
"13-06-2025","15.0800","14.0150","15.9750","14.0150","","7.60%"
"12-06-2025","14.0150","13.6675","14.2725","13.1300","","2.54%"
"11-06-2025","13.6675","14.0150","14.1550","13.5575","","-2.48%"
"10-06-2025","14.0150","14.6925","14.7400","13.9325","","-4.61%"
"09-06-2025","14.6925","14.6300","15.5200","14.6300","","0.43%"
"06-06-2025","14.6300","15.0825","15.6100","14.3675","","-3.00%"
"05-06-2025","15.0825","15.7450","15.9325","14.9825","","-4.21%"
"04-06-2025","15.7450","16.5550","17.0600","15.6300","","-4.89%"
"03-06-2025","16.5550","17.1575","17.7275","16.2575","","-3.51%"
"02-06-2025","17.1575","16.0775","17.7275","16.0775","","6.72%"
"30-05-2025","16.0775","16.4200","16.5450","15.2875","","-2.09%"
"29-05-2025","16.4200","18.0175","18.0175","16.2075","","-8.87%"
"28-05-2025","18.0175","18.5350","19.0350","17.8750","","-2.79%"
"27-05-2025","18.5350","18.0200","19.1850","17.4200","","2.86%"
"26-05-2025","18.0200","17.2775","18.4125","16.0575","","4.30%"
"23-05-2025","17.2775","17.2575","17.5225","15.4850","","0.12%"
"22-05-2025","17.2575","17.5475","18.2025","16.7050","","-1.65%"
"21-05-2025","17.5475","17.3850","17.9975","17.0425","","0.93%"
"20-05-2025","17.3850","17.3550","17.6600","15.9675","","0.17%"
"19-05-2025","17.3550","16.5500","17.4475","15.8275","","4.86%"
"16-05-2025","16.5500","16.8925","17.0550","16.2150","","-2.03%"
"15-05-2025","16.8925","17.2250","17.6725","16.7200","","-1.93%"
"14-05-2025","17.2250","18.2000","19.2425","17.0825","","-5.36%"
"13-05-2025","18.2000","18.3925","18.9025","17.8925","","-1.05%"
"12-05-2025","18.3925","21.6325","21.6325","17.2075","","-14.98%"
"09-05-2025","21.6325","21.0075","22.7475","21.0025","","2.98%"
"08-05-2025","21.0075","19.0600","21.8925","18.1525","","10.22%"
"07-05-2025","19.0600","18.9950","19.7300","18.3650","","0.34%"
"06-05-2025","18.9950","18.3375","19.3025","17.9875","","3.59%"
"05-05-2025","18.3375","18.2575","18.7950","18.0675","","0.44%"
"02-05-2025","18.2575","18.2225","18.8625","17.3500","","0.19%"
"30-04-2025","18.2225","17.3700","18.5600","15.9850","","4.91%"
"29-04-2025","17.3700","16.9400","17.5850","16.0650","","2.54%"
"28-04-2025","16.9400","17.1575","18.0725","16.6225","","-1.27%"
"25-04-2025","17.1575","16.2500","17.5750","15.9150","","5.58%"
"24-04-2025","16.2500","15.9600","16.7625","15.5525","","1.82%"
"23-04-2025","15.9600","15.2300","16.5175","12.8425","","4.79%"
"22-04-2025","15.2300","15.5150","16.0075","14.5400","","-1.84%"
"21-04-2025","15.5150","15.4675","16.3325","14.2175","","0.31%"
"17-04-2025","15.4675","15.8650","16.4625","15.0900","","-2.51%"
"16-04-2025","15.8650","16.1250","16.1250","15.1150","","-1.61%"
"15-04-2025","16.1250","20.1075","20.1075","15.9725","","-19.81%"
"11-04-2025","20.1075","21.4300","21.4300","18.8550","","-6.17%"
"09-04-2025","21.4300","20.4425","21.7475","19.6975","","4.83%"
"08-04-2025","20.4425","22.7925","22.7925","19.3825","","-10.31%"
"07-04-2025","22.7925","13.7550","23.1875","13.7550","","65.70%"
"04-04-2025","13.7550","13.6000","14.2475","13.3950","","1.14%"
"03-04-2025","13.6000","13.7225","14.1075","13.4100","","-0.89%"
"02-04-2025","13.7225","13.7825","14.1425","13.5125","","-0.44%"
"01-04-2025","13.7825","12.7175","14.0525","12.7175","","8.37%"
"28-03-2025","12.7175","13.3000","13.6100","12.5725","","-4.38%"
"27-03-2025","13.3000","13.4700","13.8500","12.9775","","-1.26%"
"26-03-2025","13.4700","13.6350","13.9150","13.3050","","-1.21%"
"25-03-2025","13.6350","13.7000","14.4750","13.4900","","-0.47%"
"24-03-2025","13.7000","12.5750","13.9525","12.5750","","8.95%"
"21-03-2025","12.5750","12.6025","12.8350","10.6950","","-0.22%"
"20-03-2025","12.6025","13.2975","13.2975","12.5125","","-5.23%"
"19-03-2025","13.2975","13.2100","13.5725","12.5850","","0.66%"
"18-03-2025","13.2100","13.4150","13.6525","11.3425","","-1.53%"
"17-03-2025","13.4150","13.2800","14.0975","13.2800","","1.02%"
"13-03-2025","13.2800","13.6925","13.9275","13.2225","","-3.01%"
"12-03-2025","13.6925","14.0725","14.3725","13.6350","","-2.70%"
"11-03-2025","14.0725","13.9850","14.5025","13.6750","","0.63%"
"10-03-2025","13.9850","13.4700","14.2075","13.4700","","3.82%"
"07-03-2025","13.4700","13.7250","13.8600","13.3325","","-1.86%"
"06-03-2025","13.7250","13.6700","14.1775","13.2800","","0.40%"
"05-03-2025","13.6700","13.8300","14.1300","13.0950","","-1.16%"
"04-03-2025","13.8300","13.7625","14.1975","13.3725","","0.49%"
"03-03-2025","13.7625","13.9100","14.3600","13.5675","","-1.06%"
"28-02-2025","13.9100","13.3075","14.1225","13.2325","","4.53%"
"27-02-2025","13.3075","13.7150","14.0075","12.9100","","-2.97%"
"25-02-2025","13.7150","14.4425","15.0775","13.6050","","-5.04%"
"24-02-2025","14.4425","14.5300","15.5800","14.3650","","-0.60%"
"21-02-2025","14.5300","14.6825","15.2425","12.0825","","-1.04%"
"20-02-2025","14.6825","15.4200","15.9025","14.6375","","-4.78%"
"19-02-2025","15.4200","15.6650","16.0225","14.7525","","-1.56%"
"18-02-2025","15.6650","15.7225","16.3225","14.7800","","-0.37%"
"17-02-2025","15.7225","15.0150","16.3100","14.4975","","4.71%"
"14-02-2025","15.0150","14.9550","15.6775","14.3575","","0.40%"
"13-02-2025","14.9550","14.8950","15.4650","12.1950","","0.40%"
"12-02-2025","14.8950","14.8700","15.6225","14.6075","","0.17%"
"11-02-2025","14.8700","14.4450","15.4325","13.8450","","2.94%"
"10-02-2025","14.4450","13.6850","14.7175","13.6850","","5.55%"
"07-02-2025","13.6850","14.1750","14.5050","13.5500","","-3.46%"
"06-02-2025","14.1750","14.0825","14.6400","13.1500","","0.66%"
"05-02-2025","14.0825","14.0175","14.2975","13.4975","","0.46%"
"04-02-2025","14.0175","14.3525","15.1325","13.6650","","-2.33%"
"03-02-2025","14.3525","14.0950","15.1125","14.0950","","1.83%"
"01-02-2025","14.0950","16.2475","16.5800","14.0125","","-13.25%"
"31-01-2025","16.2475","17.3900","17.9425","16.1075","","-6.57%"
"30-01-2025","17.3900","18.6400","18.9850","17.2175","","-6.71%"
"29-01-2025","18.6400","18.1950","19.0100","17.2875","","2.45%"
"28-01-2025","18.1950","18.1325","18.5025","16.8275","","0.34%"
"27-01-2025","18.1325","16.7450","18.5225","16.7450","","8.29%"
"24-01-2025","16.7450","16.6950","17.3100","16.1175","","0.30%"
"23-01-2025","16.6950","16.7725","17.0825","15.6675","","-0.46%"
"22-01-2025","16.7725","17.0550","17.2950","15.9050","","-1.66%"
"21-01-2025","17.0550","16.4150","17.4450","15.2025","","3.90%"
"20-01-2025","16.4150","15.7475","17.0200","15.1825","","4.24%"
"17-01-2025","15.7475","15.4650","16.3825","14.0525","","1.83%"
"16-01-2025","15.4650","15.2575","15.5725","13.9575","","1.36%"
"15-01-2025","15.2575","15.4700","15.6625","15.1975","","-1.37%"
"14-01-2025","15.4700","15.9975","15.9975","15.1150","","-3.30%"
"13-01-2025","15.9975","14.9150","16.1850","14.4500","","7.26%"
"10-01-2025","14.9150","14.6575","15.5150","14.6575","","1.76%"
"09-01-2025","14.6575","14.4650","14.8850","13.7475","","1.33%"
"08-01-2025","14.4650","14.6600","14.8800","14.0950","","-1.33%"
"07-01-2025","14.6600","15.6500","15.6500","14.3450","","-6.33%"
"06-01-2025","15.6500","13.5400","15.9200","13.5400","","15.58%"
"03-01-2025","13.5400","13.7375","13.9775","13.2250","","-1.44%"
"02-01-2025","13.7375","14.5075","14.8025","13.6300","","-5.31%"
"01-01-2025","14.5075","14.4475","14.8350","14.3050","","0.42%"
"31-12-2024","14.4475","13.9725","14.6375","13.9725","","3.40%"
"30-12-2024","13.9725","13.2375","14.3700","13.2375","","5.55%"
"27-12-2024","13.2375","14.0350","14.2375","13.0350","","-5.68%"
"26-12-2024","14.0350","13.1775","14.3875","13.0825","","6.51%"
"24-12-2024","13.1775","13.5200","15.0300","12.9750","","-2.53%"
"23-12-2024","13.5200","15.0725","16.8825","13.4175","","-10.30%"
"20-12-2024","15.0725","14.5100","15.5525","14.3975","","3.88%"
"19-12-2024","14.5100","14.3725","15.4350","13.8700","","0.96%"
"18-12-2024","14.3725","14.4850","15.2425","14.2700","","-0.78%"
"17-12-2024","14.4850","14.0200","14.9750","13.1800","","3.32%"
"16-12-2024","14.0200","13.0525","14.5050","13.0525","","7.41%"
"13-12-2024","13.0525","13.1900","14.7200","12.4700","","-1.04%"
"12-12-2024","13.1900","13.2675","13.4000","12.9475","","-0.58%"
"11-12-2024","13.2675","13.7775","14.1100","13.1750","","-3.70%"
"10-12-2024","13.7775","14.1075","14.6725","13.6975","","-2.34%"
"09-12-2024","14.1075","14.1400","14.6350","13.4500","","-0.23%"
"06-12-2024","14.1400","14.5275","15.0225","14.0450","","-2.67%"
"05-12-2024","14.5275","14.4500","15.7050","14.0550","","0.54%"
"04-12-2024","14.4500","14.3725","14.7975","14.1100","","0.54%"
"03-12-2024","14.3725","14.7000","14.8900","14.2350","","-2.23%"
"02-12-2024","14.7000","14.4250","15.0800","13.3125","","1.91%"
"29-11-2024","14.4250","15.2050","15.4575","14.3325","","-5.13%"
"28-11-2024","15.2050","14.6250","15.5625","14.2700","","3.97%"
"27-11-2024","14.6250","15.3050","15.3050","13.2450","","-4.44%"
"26-11-2024","15.3050","15.3025","16.2600","13.8725","","0.02%"
"25-11-2024","15.3025","16.0975","16.8650","13.6300","","-4.94%"
"22-11-2024","16.0975","15.9900","18.6700","12.7525","","0.67%"
"21-11-2024","15.9900","15.6625","16.7800","14.8375","","2.09%"
"19-11-2024","15.6625","15.1675","16.1850","12.7325","","3.26%"
"18-11-2024","15.1675","14.7750","16.5800","13.7550","","2.66%"
"14-11-2024","14.7750","15.4350","15.6850","13.4075","","-4.28%"
"13-11-2024","15.4350","14.5900","15.8650","13.9325","","5.79%"
"12-11-2024","14.5900","14.2700","14.8375","12.7400","","2.24%"
"11-11-2024","14.2700","14.4700","15.4700","13.1175","","-1.38%"
"08-11-2024","14.4700","14.9400","15.7250","14.3925","","-3.15%"
"07-11-2024","14.9400","14.8675","15.5225","14.2675","","0.49%"
"06-11-2024","14.8675","16.1225","20.7500","14.7125","","-7.78%"
"05-11-2024","16.1225","16.6875","19.0200","15.7950","","-3.39%"
"04-11-2024","16.6875","15.9025","17.6000","14.7775","","4.94%"
"01-11-2024","15.9025","15.5500","16.1250","13.6325","","2.27%"
"31-10-2024","15.5500","15.5100","16.2400","14.6525","","0.26%"
"30-10-2024","15.5100","14.5150","15.7000","14.2800","","6.85%"
"29-10-2024","14.5150","14.2900","15.0275","13.5575","","1.57%"
"28-10-2024","14.2900","14.6325","15.4775","13.5350","","-2.34%"
"25-10-2024","14.6325","13.9700","15.0800","13.3500","","4.74%"
"24-10-2024","13.9700","14.6225","14.8975","12.6950","","-4.46%"
"23-10-2024","14.6225","14.3950","15.0325","11.7400","","1.58%"
"22-10-2024","14.3950","13.7625","14.5150","9.4700","","4.60%"
"21-10-2024","13.7625","13.0375","14.1950","12.5525","","5.56%"
"18-10-2024","13.0375","13.3875","14.0600","12.8675","","-2.61%"
"17-10-2024","13.3875","13.0525","13.4650","11.0625","","2.57%"
"16-10-2024","13.0525","13.0025","13.5600","11.4350","","0.38%"
"15-10-2024","13.0025","12.9950","13.3625","10.9225","","0.06%"
"14-10-2024","12.9950","13.2200","13.7350","12.9150","","-1.70%"
"11-10-2024","13.2200","13.4950","13.7025","11.5350","","-2.04%"
"10-10-2024","13.4950","14.1225","14.1225","11.7275","","-4.44%"
"09-10-2024","14.1225","14.5875","14.5875","12.7000","","-3.19%"
"08-10-2024","14.5875","15.0800","15.5550","13.8775","","-3.27%"
"07-10-2024","15.0800","14.1275","15.5000","13.6175","","6.74%"
"04-10-2024","14.1275","13.1700","14.4800","12.2850","","7.27%"
"03-10-2024","13.1700","11.9875","13.9275","11.6850","","9.86%"
"01-10-2024","11.9875","12.7875","12.7875","11.7125","","-6.26%"
"30-09-2024","12.7875","11.9625","13.2375","11.6000","","6.90%"
"27-09-2024","11.9625","12.0025","12.0800","10.5025","","-0.33%"
"26-09-2024","12.0025","12.7425","12.7425","11.3525","","-5.81%"
"25-09-2024","12.7425","13.3925","13.6100","8.9800","","-4.85%"
"24-09-2024","13.3925","13.7850","14.1050","12.7425","","-2.85%"
"23-09-2024","13.7850","12.7900","14.0300","12.4275","","7.78%"
"20-09-2024","12.7900","12.4700","13.1100","10.9025","","2.57%"
"19-09-2024","12.4700","13.3725","13.3725","12.1000","","-6.75%"
"18-09-2024","13.3725","12.5900","13.8475","12.2600","","6.22%"
"17-09-2024","12.5900","12.4600","12.7500","11.8825","","1.04%"
"16-09-2024","12.4600","12.5500","12.9550","12.3100","","-0.72%"
"13-09-2024","12.5500","13.1825","13.1825","12.4675","","-4.80%"
"12-09-2024","13.1825","13.6275","13.6275","11.1400","","-3.27%"
"11-09-2024","13.6275","13.3600","13.7650","11.3250","","2.00%"
"10-09-2024","13.3600","14.2375","14.2375","12.1675","","-6.16%"
"09-09-2024","14.2375","15.2175","15.5625","14.1100","","-6.44%"
"06-09-2024","15.2175","14.2075","15.6725","12.3525","","7.11%"
"05-09-2024","14.2075","14.3775","14.3775","13.3350","","-1.18%"
"04-09-2024","14.3775","13.8425","14.5550","12.8050","","3.86%"
"03-09-2024","13.8425","14.0600","14.1500","12.6900","","-1.55%"
"02-09-2024","14.0600","13.3925","14.2500","12.6275","","4.98%"
"30-08-2024","13.3925","13.7875","13.9050","12.5400","","-2.86%"
"29-08-2024","13.7875","13.9500","14.1350","12.4825","","-1.16%"
"28-08-2024","13.9500","13.6325","14.0850","12.0350","","2.33%"
"27-08-2024","13.6325","13.7950","14.0100","12.7100","","-1.18%"
"26-08-2024","13.7950","13.5525","13.9925","12.0100","","1.79%"
"23-08-2024","13.5525","13.0000","13.6200","10.8400","","4.25%"
"22-08-2024","13.0000","13.3325","13.7825","10.9575","","-2.49%"
"21-08-2024","13.3325","13.8200","14.0450","11.8225","","-3.53%"
"20-08-2024","13.8200","14.3150","14.3150","11.4250","","-3.46%"
"19-08-2024","14.3150","14.4025","14.8300","13.1975","","-0.61%"
"16-08-2024","14.4025","15.4350","15.4350","12.9500","","-6.69%"
"14-08-2024","15.4350","16.1675","16.2200","13.8225","","-4.53%"
"13-08-2024","16.1675","15.8675","16.3750","14.2225","","1.89%"
"12-08-2024","15.8675","15.3350","16.5575","13.3950","","3.47%"
"09-08-2024","15.3350","16.6025","16.6025","13.4325","","-7.63%"
"08-08-2024","16.6025","16.1700","17.2300","14.3800","","2.67%"
"07-08-2024","16.1700","18.7425","18.7425","13.7225","","-13.73%"
"06-08-2024","18.7425","20.3675","20.3675","14.8675","","-7.98%"
"05-08-2024","20.3675","14.3200","23.1525","13.9075","","42.23%"
"02-08-2024","14.3200","12.9300","14.5100","11.6925","","10.75%"
"01-08-2024","12.9300","13.2500","13.3050","11.9825","","-2.42%"
"31-07-2024","13.2500","12.8800","13.3875","11.6225","","2.87%"
"30-07-2024","12.8800","12.9450","13.2600","11.7150","","-0.50%"
"29-07-2024","12.9450","12.2475","13.2550","12.0275","","5.70%"
"26-07-2024","12.2475","12.6175","13.1350","11.9775","","-2.93%"
"25-07-2024","12.6175","11.7625","13.2175","11.2750","","7.27%"
"24-07-2024","11.7625","12.7475","14.0375","11.6175","","-7.73%"
"23-07-2024","12.7475","15.4375","16.0650","12.5925","","-17.43%"
"22-07-2024","15.4375","14.8250","15.6250","13.1150","","4.13%"
"19-07-2024","14.8250","14.5100","14.9650","12.7375","","2.17%"
"18-07-2024","14.5100","14.2225","14.7100","13.7500","","2.02%"
"16-07-2024","14.2225","14.1875","14.5875","13.8025","","0.25%"
"15-07-2024","14.1875","13.7250","14.3400","13.5675","","3.37%"
"12-07-2024","13.7250","13.9950","14.0525","13.2225","","-1.93%"
"11-07-2024","13.9950","14.4325","14.4325","12.6800","","-3.03%"
"10-07-2024","14.4325","14.2800","14.9150","13.4075","","1.07%"
"09-07-2024","14.2800","13.6000","14.4025","12.7900","","5.00%"
"08-07-2024","13.6000","12.6950","13.7575","12.6950","","7.13%"
"05-07-2024","12.6950","12.8550","12.9900","12.0800","","-1.24%"
"04-07-2024","12.8550","13.2050","13.2050","12.2575","","-2.65%"
"03-07-2024","13.2050","13.6400","13.7150","12.8700","","-3.19%"
"02-07-2024","13.6400","13.8300","14.0125","13.3225","","-1.37%"
"01-07-2024","13.8300","13.8025","14.2275","13.7925","","0.20%"
"28-06-2024","13.8025","14.1525","14.2900","13.6875","","-2.47%"
"27-06-2024","14.1525","14.0450","14.6100","13.9150","","0.77%"
"26-06-2024","14.0450","14.3125","14.5475","13.9850","","-1.87%"
"25-06-2024","14.3125","14.0575","14.4550","13.8425","","1.81%"
"24-06-2024","14.0575","13.1800","14.2675","13.1500","","6.66%"
"21-06-2024","13.1800","13.3450","13.5900","12.4750","","-1.24%"
