Date,Price,Open,High,Low,Vol.,Change %
09/02/2025,53661,54038.25,54157.3,53580.6,77.54M,-0.63%
09/01/2025,54002.45,53658.15,54035.85,53658.15,78.04M,0.65%
08/29/2025,53655.65,53660.35,54086,53606.45,103.89M,-0.31%
08/28/2025,53820.35,54256,54382.25,53768.45,134.33M,-1.16%
08/26/2025,54450.45,54999.05,55068.9,54396.1,123.81M,-1.25%
08/25/2025,55139.3,55147.75,55306,55048.4,79.87M,-0.02%
08/22/2025,55149.4,55669.25,55745,55102.6,77.14M,-1.09%
08/21/2025,55755.45,55972.05,55993.65,55708.2,70.34M,0.10%
08/20/2025,55698.5,55751.5,55812.6,55577.35,69.08M,-0.30%
08/19/2025,55865.15,55622.3,55965.55,55608.15,89.33M,0.23%
08/18/2025,55734.9,55940.6,56156.3,55647.65,101.72M,0.71%
08/14/2025,55341.85,55102.55,55472.8,55074.3,74.19M,0.29%
08/13/2025,55181.45,55340.05,55340.05,55026.95,80.07M,0.25%
08/12/2025,55043.7,55441.1,55566.7,55001.5,74.65M,-0.84%
08/11/2025,55510.75,54999.35,55582.15,54927.55,105.18M,0.92%
08/08/2025,55004.9,55609.35,55652.6,54905.6,97.28M,-0.93%
08/07/2025,55521.15,55215.65,55614.8,54973.55,95.47M,0.20%
08/06/2025,55411.15,55329.8,55559.4,55227.7,117.60M,0.09%
08/05/2025,55360.25,55545.05,55648.15,55202.85,105.72M,-0.47%
08/04/2025,55619.35,55557.5,55752.45,55437.3,131.11M,0.00%
08/01/2025,55617.6,55897.15,56097.6,55562.1,98.89M,-0.62%
07/31/2025,55961.95,55728.15,56406.2,55547.35,182.79M,-0.34%
07/30/2025,56150.7,56310.1,56321.15,56064.55,139.65M,-0.13%
07/29/2025,56222,55881.8,56296.4,55843.25,145.11M,0.24%
07/28/2025,56084.9,56215.1,56578.4,55997.45,145.69M,-0.79%
07/25/2025,56528.9,57170.7,57170.7,56439.4,125.07M,-0.94%
07/24/2025,57066.05,57316.6,57316.6,56850.9,179.81M,-0.25%
07/23/2025,57210.45,56918.15,57249,56715.8,129.78M,0.80%
07/22/2025,56756,57253.35,57286.15,56692,132.76M,-0.35%
07/21/2025,56952.75,56558.9,56983.45,56255.7,133.66M,1.19%
07/18/2025,56283,56524.25,56705.15,56204.85,141.25M,-0.96%
07/17/2025,56828.8,57231.95,57262.85,56780.15,129.76M,-0.59%
07/16/2025,57168.95,57111.25,57276.55,56937.6,161.25M,0.28%
07/15/2025,57006.65,56709.2,57134.95,56707.8,124.58M,0.43%
07/14/2025,56765.35,56780.75,56896.3,56594.25,123.04M,0.02%
07/11/2025,56754.7,56843.45,57091.05,56607.75,95.54M,-0.35%
07/10/2025,56956,57339.75,57363.7,56886.6,102.00M,-0.45%
07/09/2025,57213.55,57199.75,57290.65,57037.9,91.11M,-0.07%
07/08/2025,57256.3,56942.55,57303.3,56923.05,105.50M,0.54%
07/07/2025,56949.2,56938.7,57152.2,56838.55,103.28M,-0.15%
07/04/2025,57031.9,56825.25,57075.1,56623.6,93.86M,0.42%
07/03/2025,56791.95,57050.4,57193.25,56764.1,149.89M,-0.36%
07/02/2025,56999.2,57558.2,57628.4,56833.8,169.59M,-0.80%
07/01/2025,57459.45,57375.8,57533.85,57150.35,283.28M,0.26%
